hashtag,date,n
#covid19,2021-10-27T12,16.0
#covid19,2021-10-27T13,16.333333333333332
#covid19,2021-10-27T14,16.333333333333332
#covid19,2021-10-27T15,13.666666666666666
#covid19,2021-10-27T16,14.0
#covid19,2021-10-27T17,15.0
#covid19,2021-10-27T18,16.0
#covid19,2021-10-27T19,13.666666666666666
#covid19,2021-10-27T20,9.666666666666666
#covid19,2021-10-27T21,7.333333333333333
#covid19,2021-10-27T22,6.333333333333333
#covid19,2021-10-27T23,5.0
#covid19,2021-10-28T00,8.333333333333334
#covid19,2021-10-28T01,12.666666666666666
#covid19,2021-10-28T02,16.0
#covid19,2021-10-28T03,12.666666666666666
#covid19,2021-10-28T04,9.333333333333334
#covid19,2021-10-28T05,9.333333333333334
#covid19,2021-10-28T06,7.666666666666667
#covid19,2021-10-28T07,8.0
#covid19,2021-10-28T08,5.666666666666667
#covid19,2021-10-28T09,7.0
#covid19,2021-10-28T10,38.666666666666664
#covid19,2021-10-28T11,48.0
#covid19,2021-10-28T12,84.33333333333333
#covid19,2021-10-28T13,88.66666666666667
#covid19,2021-10-28T14,89.33333333333333
#covid19,2021-10-28T15,61.666666666666664
#covid19,2021-10-28T16,35.333333333333336
#covid19,2021-10-28T17,29.0
#covid19,2021-10-28T18,22.0
#covid19,2021-10-28T19,14.0
#covid19,2021-10-28T20,14.333333333333334
#covid19,2021-10-28T21,13.333333333333334
#covid19,2021-10-28T22,16.0
#covid19,2021-10-28T23,16.333333333333332
#covid19,2021-10-29T00,18.0
#covid19,2021-10-29T01,13.666666666666666
#covid19,2021-10-29T02,8.666666666666666
#covid19,2021-10-29T03,6.333333333333333
#covid19,2021-10-29T04,7.666666666666667
#covid19,2021-10-29T05,8.666666666666666
#covid19,2021-10-29T06,13.666666666666666
#covid19,2021-10-29T07,30.666666666666668
#covid19,2021-10-29T08,28.0
#cuba,2021-10-24T08,0.0
#cuba,2021-10-24T09,0.0
#cuba,2021-10-24T10,0.0
#cuba,2021-10-24T11,0.0
#cuba,2021-10-24T12,0.0
#cuba,2021-10-24T13,0.0
#cuba,2021-10-24T14,0.0
#cuba,2021-10-24T15,0.0
#cuba,2021-10-24T16,0.0
#cuba,2021-10-24T17,0.0
#cuba,2021-10-24T18,0.0
#cuba,2021-10-24T19,0.0
#cuba,2021-10-24T20,0.0
#cuba,2021-10-24T21,0.0
#cuba,2021-10-24T22,0.0
#cuba,2021-10-24T23,0.0
#cuba,2021-10-25T00,0.0
#cuba,2021-10-25T01,0.0
#cuba,2021-10-25T02,0.0
#cuba,2021-10-25T03,0.0
#cuba,2021-10-25T04,0.0
#cuba,2021-10-25T05,0.0
#cuba,2021-10-25T06,0.0
#cuba,2021-10-25T07,0.0
#cuba,2021-10-25T08,0.0
#cuba,2021-10-25T09,0.0
#cuba,2021-10-25T10,0.3333333333333333
#cuba,2021-10-25T11,1.6666666666666667
#cuba,2021-10-25T12,1.6666666666666667
#cuba,2021-10-25T13,1.6666666666666667
#cuba,2021-10-25T14,1.0
#cuba,2021-10-25T15,1.6666666666666667
#cuba,2021-10-25T16,1.3333333333333333
#cuba,2021-10-25T17,0.6666666666666666
#cuba,2021-10-25T18,0.3333333333333333
#cuba,2021-10-25T19,0.3333333333333333
#cuba,2021-10-25T20,0.6666666666666666
#cuba,2021-10-25T21,0.3333333333333333
#cuba,2021-10-25T22,0.3333333333333333
#cuba,2021-10-25T23,0.0
#cuba,2021-10-26T00,0.0
#cuba,2021-10-26T01,0.0
#cuba,2021-10-26T02,0.0
#cuba,2021-10-26T03,0.0
#cuba,2021-10-26T04,0.0
#cuba,2021-10-26T05,0.0
#cuba,2021-10-26T06,0.0
#cuba,2021-10-26T07,0.0
#cuba,2021-10-26T08,0.0
#cuba,2021-10-26T09,0.0
#cuba,2021-10-26T10,0.0
#cuba,2021-10-26T11,0.0
#cuba,2021-10-26T12,0.0
#cuba,2021-10-26T13,0.0
#cuba,2021-10-26T14,0.3333333333333333
#cuba,2021-10-26T15,0.3333333333333333
#cuba,2021-10-26T16,0.3333333333333333
#cuba,2021-10-26T17,0.3333333333333333
#cuba,2021-10-26T18,1.0
#cuba,2021-10-26T19,3.0
#cuba,2021-10-26T20,3.0
#cuba,2021-10-26T21,6.0
#cuba,2021-10-26T22,6.0
#cuba,2021-10-26T23,7.333333333333333
#cuba,2021-10-27T00,4.666666666666667
#cuba,2021-10-27T01,3.3333333333333335
#cuba,2021-10-27T02,1.6666666666666667
#cuba,2021-10-27T03,0.6666666666666666
#cuba,2021-10-27T04,0.3333333333333333
#cuba,2021-10-27T05,0.6666666666666666
#cuba,2021-10-27T06,1.0
#cuba,2021-10-27T07,1.0
#cuba,2021-10-27T08,1.0
#cuba,2021-10-27T09,0.6666666666666666
#cuba,2021-10-27T10,29.333333333333332
#cuba,2021-10-27T11,67.0
#cuba,2021-10-27T12,98.0
#cuba,2021-10-27T13,88.66666666666667
#cuba,2021-10-27T14,65.66666666666667
#cuba,2021-10-27T15,43.666666666666664
#cuba,2021-10-27T16,28.0
#cuba,2021-10-27T17,20.666666666666668
#cuba,2021-10-27T18,14.666666666666666
#cuba,2021-10-27T19,17.0
#cuba,2021-10-27T20,14.0
#cuba,2021-10-27T21,16.333333333333332
#cuba,2021-10-27T22,14.666666666666666
#cuba,2021-10-27T23,23.666666666666668
#cuba,2021-10-28T00,28.0
